"","index","text","keyword1","keyword2","keyword3","concept1","concept2","concept3","entity1","entity2","entity3","anger","disgust","fear","joy","sadness","analytical","confident","tentative","openness","conscientiousness","extraversion","agreeableness","emotional_range","taxonomy","knowledgegraph"
"90",90,"What is Zcash Worth As Price Booms Traders Remain Uncertain  CoinDesk Prices zcash  ","Booms Traders Remain","Uncertain  CoinDesk Prices","NA","Price","NA","NA","","","",0.032,0.306,0.037,0.625,0.091,0,0,0.36,0.352,0.313,0.81,0.608,0.454,"/business and industrial/energy/oil ","/organizations/companies/traders/booms traders remain "
"91",91," ","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0," "," "
"92",92,"zcash has a blockchain totally different amp newly done from bitcoin with a totally unique Mathematical Algorithm Fascinating and Exciting","totally unique Mathematical","Algorithm Fascinating","amp","Algorithm","NA","NA","zcash","NA","NA",0.059,0.106,0.099,0.73,0.074,0.418,0.85,0,0.978,0.725,0.943,0.93,0.171,"/technology and computing/consumer electronics/audio equipment/speakers ","/products/unique/totally unique mathematical "
"93",93,"Bitcoin has been  bested kinda Zcash new crypto that only became live and available   days ago Traded at over     usd each already","Zcash new crypto","Traded","Bitcoin","Television news","NA","NA","Bitcoin","NA","NA",0.082,0.03,0.06,0.496,0.386,0.159,0,0.447,0.263,0.214,0.103,0.147,0.17,"/finance/investing/funds/exchange traded funds "," "
"94",94,"RT orobit     What is Zcash Worth As Price Tops      Traders Remain Uncertain Zcash traded at twice the price of bitcoin on  ","Traders Remain Uncertain","Zcash Worth","Tops","The Price","Price","NA","","","",0.055,0.296,0.05,0.507,0.205,0,0,0.158,0.362,0.328,0.793,0.582,0.842,"/finance/investing/funds/exchange traded funds ","/organizations/companies/traders/traders remain uncertain "
"95",95,"RT taoeffect Please read petertoddbtcs replies here re Zcash  It must be emphasized that trusted setup can be trivially subverted b","petertoddbtcs replies","setup","taoeffect","","","","","","",0.052,0.156,0.247,0.167,0.46,0,0.314,0,0.357,0.62,0.015,0.692,0.085,"/law, govt and politics/government ","NA "
"96",96,"RT hq  bnn  I hold neither Dashpay nor monerocurrency and I am a HUGE critic of ZCash Of the   my choice would be XMR hands down","XMR hands","HUGE critic"," hq  bnn","","","","Dashpay","NA","NA",0.123,0.117,0.28,0.292,0.278,0,0,0,0.832,0.039,0.008,0.26,0.032,"/technology and computing/computer reviews ","/materials/services/parts/hands/xmr hands "
"97",97,"What is Zcash Worth As Price Tops      Traders Remain Uncertain Zcash traded at twice the price of bitcoin on  ","Traders Remain Uncertain","Zcash Worth","Tops","The Price","Price","NA","","","",0.074,0.332,0.051,0.397,0.261,0,0,0.193,0.434,0.27,0.822,0.503,0.855,"/finance/investing/funds/exchange traded funds ","/organizations/companies/traders/traders remain uncertain "
"98",98,"What is Zcash Worth As Price Tops      Traders Remain Uncertain Zcash traded at twice the price of bitcoin on  ","Traders Remain Uncertain","Zcash Worth","Tops","The Price","Price","NA","","","",0.074,0.332,0.051,0.397,0.261,0,0,0.193,0.434,0.27,0.822,0.503,0.855,"/finance/investing/funds/exchange traded funds ","/organizations/companies/traders/traders remain uncertain "
"99",99,"What is Zcash Worth As Price Tops      Traders Remain Uncertain Zcash traded at twice the price of bitcoin on  ","Traders Remain Uncertain","Zcash Worth","Tops","The Price","Price","NA","","","",0.074,0.332,0.051,0.397,0.261,0,0,0.193,0.434,0.27,0.822,0.503,0.855,"/finance/investing/funds/exchange traded funds ","/organizations/companies/traders/traders remain uncertain "
"100",100,"What is Zcash Worth As Price Tops      Traders Remain Uncertain Zcash traded at twice the price of bitcoin on  ","Traders Remain Uncertain","Zcash Worth","Tops","The Price","Price","NA","","","",0.074,0.332,0.051,0.397,0.261,0,0,0.193,0.434,0.27,0.822,0.503,0.855,"/finance/investing/funds/exchange traded funds ","/organizations/companies/traders/traders remain uncertain "
"101",101,"What is Zcash Worth As Price Tops      Traders Remain Uncertain Zcash traded at twice the price of bitcoin on  ","Traders Remain Uncertain","Zcash Worth","Tops","The Price","Price","NA","","","",0.074,0.332,0.051,0.397,0.261,0,0,0.193,0.434,0.27,0.822,0.503,0.855,"/finance/investing/funds/exchange traded funds ","/organizations/companies/traders/traders remain uncertain "
"102",102,"What is Zcash Worth As Price Booms Traders Remain Uncertain  CoinDesk Prices zcash  ","Booms Traders Remain","Uncertain  CoinDesk Prices","NA","Price","NA","NA","","","",0.032,0.306,0.037,0.625,0.091,0,0,0.36,0.352,0.313,0.81,0.608,0.454,"/business and industrial/energy/oil ","/organizations/companies/traders/booms traders remain "
"103",103,"What is Zcash Worth As Price Tops      Traders Remain Uncertain Zcash traded at twice the price of bitcoin on  ","Traders Remain Uncertain","Zcash Worth","Tops","The Price","Price","NA","","","",0.074,0.332,0.051,0.397,0.261,0,0,0.193,0.434,0.27,0.822,0.503,0.855,"/finance/investing/funds/exchange traded funds ","/organizations/companies/traders/traders remain uncertain "
"104",104,"What is Zcash Worth As Price Tops      Traders Remain Uncertain Zcash traded at twice the price of bitcoin on  ","Traders Remain Uncertain","Zcash Worth","Tops","The Price","Price","NA","","","",0.074,0.332,0.051,0.397,0.261,0,0,0.193,0.434,0.27,0.822,0.503,0.855,"/finance/investing/funds/exchange traded funds ","/organizations/companies/traders/traders remain uncertain "
"105",105,"What is Zcash Worth As Price Tops      Traders Remain Uncertain Zcash traded at twice the price of bitcoin on  ","Traders Remain Uncertain","Zcash Worth","Tops","The Price","Price","NA","","","",0.074,0.332,0.051,0.397,0.261,0,0,0.193,0.434,0.27,0.822,0.503,0.855,"/finance/investing/funds/exchange traded funds ","/organizations/companies/traders/traders remain uncertain "
"106",106,"What is Zcash Worth As Price Tops      Traders Remain Uncertain Zcash traded at twice the price of bitcoin on  ","Traders Remain Uncertain","Zcash Worth","Tops","The Price","Price","NA","","","",0.074,0.332,0.051,0.397,0.261,0,0,0.193,0.434,0.27,0.822,0.503,0.855,"/finance/investing/funds/exchange traded funds ","/organizations/companies/traders/traders remain uncertain "
"107",107,"What is Zcash Worth As Price Tops      Traders Remain Uncertain Zcash traded at twice the price of bitcoin on  ","Traders Remain Uncertain","Zcash Worth","Tops","The Price","Price","NA","","","",0.074,0.332,0.051,0.397,0.261,0,0,0.193,0.434,0.27,0.822,0.503,0.855,"/finance/investing/funds/exchange traded funds ","/organizations/companies/traders/traders remain uncertain "
"108",108,"MobileMarketing  What is Zcash Worth As Price Booms Traders Remain Uncertain  CoinDesk Prices zcash  ","Booms Traders Remain","Uncertain  CoinDesk Prices","NA","Price","NA","NA","","","",0.032,0.305,0.037,0.625,0.092,0,0,0.324,0.331,0.3,0.805,0.597,0.367,"/business and industrial/energy/oil ","/organizations/companies/traders/booms traders remain "
"109",109,"If you find the pompousness of the Zcash project a little annoying read this  ","little annoying read","Zcash project","pompousness","","","","Zcash","NA","NA",0.321,0.095,0.013,0.632,0.056,0.802,0,0,0.766,0.013,0.165,0.156,0.05,"/business and industrial/business operations/management/project management ","/species/little/little annoying read "
"110",110,"I hold neither Dashpay nor monerocurrency and I am a HUGE critic of ZCash Of the   my choice would be XMR han  ","XMR han","HUGE critic","choice","","","","Dashpay","NA","NA",0.162,0.078,0.311,0.185,0.36,0.653,0,0,0.908,0.002,0.002,0.13,0.011,"/art and entertainment/movies and tv/movies/reviews ","/brands/hanes/xmr han "
"111",111,"What is Zcash Worth As Price Booms Traders Remain Uncertain  CoinDesk Prices zcash  ","Booms Traders Remain","Uncertain  CoinDesk Prices","NA","Price","NA","NA","","","",0.032,0.306,0.037,0.625,0.091,0,0,0.36,0.352,0.313,0.81,0.608,0.454,"/business and industrial/energy/oil ","/organizations/companies/traders/booms traders remain "
"112",112,"What is Zcash Worth As Price Booms Traders Remain Uncertain  CoinDesk Prices zcash  ","Booms Traders Remain","Uncertain  CoinDesk Prices","NA","Price","NA","NA","","","",0.032,0.306,0.037,0.625,0.091,0,0,0.36,0.352,0.313,0.81,0.608,0.454,"/business and industrial/energy/oil ","/organizations/companies/traders/booms traders remain "
"113",113,"Zcash new virtualCurrency less traceable than bitcoin has secured   million in backing from no of SiliconValley venturecapitalists","Zcash new virtualCurrency","SiliconValley venturecapitalists","bitcoin","","","","","","",0.041,0.102,0.444,0.159,0.327,0.025,0,0,0.204,0.124,0.527,0.135,0.351,"/finance/personal finance/lending/personal loans "," "
"114",114,"RT NewsCarson Who wants to talk about Zcash in this weeks blockchain tracker Message me if you have insight and opinionswhich I k","tracker Message","insight","NewsCarson","Who Wants to Be a Millionaire?","NA","NA","Zcash","NA","NA",0.062,0.108,0.163,0.146,0.641,0.636,0,0.131,0.256,0.192,0.362,0.874,0.015,"/technology and computing/internet technology/chat ","NA "
"115",115,"RT taoeffect Please read petertoddbtcs replies here re Zcash  It must be emphasized that trusted setup can be trivially subverted b","petertoddbtcs replies","setup","taoeffect","","","","","","",0.052,0.156,0.247,0.167,0.46,0,0.314,0,0.357,0.62,0.015,0.692,0.085,"/law, govt and politics/government ","NA "
"116",116,"RT taoeffect Please read petertoddbtcs replies here re Zcash  It must be emphasized that trusted setup can be trivially subverted b","petertoddbtcs replies","setup","taoeffect","","","","","","",0.052,0.156,0.247,0.167,0.46,0,0.314,0,0.357,0.62,0.015,0.692,0.085,"/law, govt and politics/government ","NA "
"117",117,"Please read petertoddbtcs replies here re Zcash  It must be emphasized that trusted setup can be trivially su  ","trivially su","petertoddbtcs replies","setup","","","","","","",0.089,0.094,0.194,0.16,0.552,0,0.374,0,0.604,0.575,0.096,0.747,0.075,"/technology and computing/internet technology/email ","/ats/su/trivially su "
"118",118,"I stick to an old theory  sell no ZEC over the next  years zcash","old theory  sell","zcash","NA","","","","","","",0.276,0.058,0.03,0.137,0.581,0,0,0.324,0.102,0,0.001,0,0.129,"/law, govt and politics/politics/elections ","/books/theory/old theory  sell "
"119",119," ","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0," "," "
"120",120,"Bitcoin and Zcash How Do They Compare   ","Bitcoin","Zcash","NA","","","","Bitcoin","NA","NA",0.266,0.278,0.079,0.021,0.513,0.939,0,0,0.148,0.308,0.714,0.383,0.797," "," "
"121",121,"RT diiorioanthony ethereumproject to Add Zcash Privacy Says Vitalik Buterin  ","Add Zcash Privacy","diiorioanthony ethereumproject","Vitalik Buterin","","","","Vitalik Buterin","NA","NA",0.063,0.1,0.116,0.545,0.256,0,0,0,0.021,0.335,0.104,0.598,0.163,"/health and fitness/disorders/mental disorder/a.d.d. ","/issues/privacy/add zcash privacy "
"122",122,"RT bitscanner Zcash Generates Price Frenzy    ","Price Frenzy","bitscanner Zcash","NA","","","","","","",0.045,0.139,0.074,0.69,0.118,0,0,0,0.184,0.441,0.323,0.666,0.214,"/business and industrial/energy/electricity ","/numbers/factors/features/details/price/price frenzy "
"123",123,"RT bitscanner Zcash Generates Price Frenzy    ","Price Frenzy","bitscanner Zcash","NA","","","","","","",0.045,0.139,0.074,0.69,0.118,0,0,0,0.184,0.441,0.323,0.666,0.214,"/business and industrial/energy/electricity ","/numbers/factors/features/details/price/price frenzy "
"124",124,"RT bitscanner Zcash Generates Price Frenzy    ","Price Frenzy","bitscanner Zcash","NA","","","","","","",0.045,0.139,0.074,0.69,0.118,0,0,0,0.184,0.441,0.323,0.666,0.214,"/business and industrial/energy/electricity ","/numbers/factors/features/details/price/price frenzy "
"125",125,"RT FowlerFox New bitcoin rival promises anonymity for online purchases  ","New bitcoin rival","online purchases","anonymity","","","","bitcoin","NA","NA",0.276,0.021,0.008,0.673,0.098,0,0,0,0.018,0.385,0.262,0.513,0.757,"/technology and computing/networking/vpn and remote access ","NA "
"126",126,"New bitcoin rival promises anonymity for online purchases  ","online purchases","New bitcoin","anonymity","","","","bitcoin","NA","NA",0.348,0.023,0.009,0.569,0.124,0,0,0,0.055,0.299,0.46,0.546,0.709,"/technology and computing/networking/vpn and remote access ","/museum store purchases/online purchases "
"127",127,"RT ToneLLT esazake ZCash is more DumbStupid then it is Scam but the line is between the two is flexible tweeted the following char","ToneLLT esazake ZCash","following char","Scam","Following","NA","NA","Scam","NA","NA",0.171,0.171,0.082,0.328,0.307,0,0.004,0,0.962,0.262,0.515,0.025,0.489,"/sports/fishing/fly fishing ","NA "
"128",128,"RT LoopyBit zcash Founders should only receive    of the first halving and beyond not    this early   ","LoopyBit zcash Founders","halving","NA","","","","","","",0.045,0.236,0.058,0.687,0.064,0,0,0,0.537,0.985,0.007,0.106,0.559,"/society/work/unemployment ","/people/loopybit zcash founders "
"129",129,"RT Yzord zcash is a little scam Watch out they gonna mine with private GPU mining which is  x faster then we can  ","private GPU mining","little scam","Yzord zcash","Gonna Fly Now","English-language films","NA","Yzord zcash","NA","NA",0.233,0.103,0.34,0.101,0.308,0,0,0,0.526,0.397,0.101,0.129,0.533,"/business and industrial/energy/coal ","/industries/mining/private gpu mining "
"130",130,"RT ECorpCEO We should have thought of this zcashco zooko what a clever zcash scam    of the mining Brilliant Ecoin Bitcoin","clever zcash scam","mining Brilliant Ecoin","zcashco zooko","","","","","","",0.09,0.247,0.168,0.513,0.064,0,0,0.158,0.72,0.345,0.374,0.563,0.511,"/business and industrial/mining industry ","/issues/types/scams/clever zcash scam "
"131",131,"RT ECorpCEO We should have thought of this zcashco zooko what a clever zcash scam    of the mining Brilliant Ecoin Bitcoin","clever zcash scam","mining Brilliant Ecoin","zcashco zooko","","","","","","",0.09,0.247,0.168,0.513,0.064,0,0,0.158,0.72,0.345,0.374,0.563,0.511,"/business and industrial/mining industry ","/issues/types/scams/clever zcash scam "
"132",132,"RT Yzord zcash is a little scam Watch out they gonna mine with private GPU mining which is  x faster then we can  ","private GPU mining","little scam","Yzord zcash","Gonna Fly Now","English-language films","NA","Yzord zcash","NA","NA",0.233,0.103,0.34,0.101,0.308,0,0,0,0.526,0.397,0.101,0.129,0.533,"/business and industrial/energy/coal ","/industries/mining/private gpu mining "
"133",133,"RT LoopyBit zcash Founders should only receive    of the first halving and beyond not    this early   ","LoopyBit zcash Founders","halving","NA","","","","","","",0.045,0.236,0.058,0.687,0.064,0,0,0,0.537,0.985,0.007,0.106,0.559,"/society/work/unemployment ","/people/loopybit zcash founders "
"134",134,"and if you havent found your faith well that just means you dont get it yet When you are ready faith w  ","faith","NA","NA","","","","","","",0.195,0.055,0.323,0.297,0.171,0.56,0.599,0,0.524,0.996,0.521,0.982,0.686,"/religion and spirituality/christianity ","/issues/faith "
"135",135,"Shop with bitcoins at the Bitcoin Store  ","Bitcoin Store","Shop","bitcoins","","","","","","",0.167,0.213,0.043,0.546,0.121,0,0,0,0.202,0.269,0.552,0.587,0.643,"/food and drink/food and grocery retailers/grocery stores ","/organizations/businesses/stores/bitcoin store "
"136",136,"Zcash Generates Price Frenzy    ","Price Frenzy","Zcash","NA","","","","","","",0.071,0.172,0.113,0.557,0.149,0.982,0,0,0.39,0.327,0.542,0.592,0.364,"/business and industrial/energy/electricity ","/numbers/factors/features/details/price/price frenzy "
"137",137,"RT ToneLLT esazake ZCash is more DumbStupid then it is Scam but the line is between the two is flexible tweeted the following char","ToneLLT esazake ZCash","following char","Scam","Following","NA","NA","Scam","NA","NA",0.171,0.171,0.082,0.328,0.307,0,0.004,0,0.962,0.262,0.515,0.025,0.489,"/sports/fishing/fly fishing ","NA "
"138",138,"RT ToneLLT esazake ZCash is more DumbStupid then it is Scam but the line is between the two is flexible tweeted the following char","ToneLLT esazake ZCash","following char","Scam","Following","NA","NA","Scam","NA","NA",0.171,0.171,0.082,0.328,0.307,0,0.004,0,0.962,0.262,0.515,0.025,0.489,"/sports/fishing/fly fishing ","NA "
"139",139,"RT TheEconomist Unlike Bitcoin Zcash shields transactions from prying eyes with a scheme based on zeroknowledge proofs  ","prying eyes","zeroknowledge proofs","Bitcoin Zcash","","","","","","",0.083,0.106,0.257,0.156,0.47,0,0,0,0.461,0.106,0.496,0.207,0.33,"/business and industrial ","/tissues/organs/eyes/prying eyes "
"140",140,"Who wants to talk about Zcash in this weeks blockchain tracker Message me if you have insight and opinionswhich I know you do","tracker Message","insight","Zcash","Who Wants to Be a Millionaire?","NA","NA","Zcash","NA","NA",0.06,0.081,0.166,0.109,0.71,0.898,0,0.131,0.265,0.37,0.798,0.904,0.069,"/technology and computing/internet technology/chat ","NA "
"141",141,"RT Matthijs   Zcash the privacyfriendly bitcoin generates price frenzy  "," Matthijs   Zcash","price frenzy","privacyfriendly bitcoin","","","","Matthijs Zcash","NA","NA",0.05,0.153,0.096,0.634,0.122,0,0,0,0.222,0.405,0.318,0.546,0.566,"/business and industrial/energy/electricity ","NA "
"142",142,"RT Metaballo Going to make lists of victims lists of investors lists or users amp list of companies participating in ZCash on ZcashVict","Metaballo Going","victims lists","investors lists","","","","","","",0.077,0.26,0.14,0.359,0.224,0,0,0.423,0.435,0.307,0.555,0.18,0.685,"/business and industrial/advertising and marketing/telemarketing ","/factors/actions/going/metaballo going "
"143",143," ","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0," "," "
"144",144,"Zcash and Monero sense opportunity in one of bitcoins flaws  ","Monero sense opportunity","bitcoins flaws","Zcash","","","","Zcash","Monero","NA",0.181,0.062,0.268,0.286,0.284,0,0,0,0.622,0.081,0.439,0.259,0.125,"/art and entertainment/humor ","/issues/benefits/opportunities/monero sense opportunity "
"145",145,"Going to make lists of victims lists of investors lists or users amp list of companies participating in ZCash on ZcashVictims","victims lists","investors lists","users","","","","","","",0.099,0.29,0.129,0.252,0.297,0,0,0.471,0.494,0.25,0.643,0.19,0.708,"/business and industrial/advertising and marketing/telemarketing ","/people/victims lists "
"146",146,"RT shinobi    Someone tell me why I should trust the trusted setup for zec zec Zcash I dont see how this is in any way better than ","zec zec Zcash","setup","way","2007 singles","Trust","NA","","","",0.195,0.216,0.219,0.131,0.377,0,0,0.699,0.058,0.096,0.083,0.146,0.163,"/law, govt and politics/politics/elections ","NA "
"147",147,"RT DDeconomics Thats what those nerds were cooking JohnsHopkins library during my grad school daysZcashnovel cryptography amp algorit","daysZcashnovel cryptography amp","DDeconomics Thats","nerds","School","College","NA","","","",0.098,0.102,0.158,0.305,0.435,0,0,0,0.111,0.653,0.327,0.466,0.444,"/education/school ","/accessories/amps/dayszcashnovel cryptography amp "
"148",148,"Someone tell me why I should trust the trusted setup for zec zec Zcash I dont see how this is in any way better than bitcoin","zec zec Zcash","setup","way","2007 singles","Trust","NA","","","",0.226,0.22,0.181,0.077,0.445,0.046,0,0.716,0.097,0.041,0.286,0.082,0.344,"/law, govt and politics/politics/elections ","NA "
"149",149,"Silkroad    convo be like  Dude want to buy some drugs  Dude    sure Zcash   Dude perfect   bitcoin Zcash ethereum  LTC","Dude    sure Zcash","Dude perfect   bitcoin","Zcash ethereum  LTC","","","","","","",0.057,0.026,0.048,0.101,0.818,0,0.353,0,0.521,0.009,0.724,0.439,0.258,"/business and industrial/agriculture and forestry/farms and ranches ","/chicks/dudes/dude    sure zcash "
"150",150,"RT JSDALLAS Fintech disruption New DigitalCurrency Zcash Now Available  ","JSDALLAS Fintech disruption","New DigitalCurrency Zcash","NA","","","","","","",0.117,0.008,0.126,0.704,0.097,0,0,0,0.31,0.541,0.023,0.538,0.004," ","/problems/disruptions/jsdallas fintech disruption "
"151",151,"Zcash is not the first cryptocurrency to offer advanced anonymity features  ","anonymity features","Zcash","cryptocurrency","","","","Zcash","NA","NA",0.111,0.217,0.223,0.272,0.257,0,0,0,0.346,0.596,0.088,0,0.71,"/technology and computing/networking/vpn and remote access ","/issues/anonymity/anonymity features "
"152",152,"The first Zerocash or Zcash electronic coins have been minted   ","Zcash electronic coins","Zerocash","NA","Coin","NA","NA","","","",0.175,0.082,0.235,0.43,0.138,0,0,0.822,0.606,0.314,0.029,0,0.295,"/hobbies and interests/collecting/stamps and coins ","/industries/electronics/zcash electronic coins "
"153",153,"The first Zerocash or Zcash electronic coins have been minted   ","Zcash electronic coins","Zerocash","NA","Coin","NA","NA","","","",0.175,0.082,0.235,0.43,0.138,0,0,0.822,0.606,0.314,0.029,0,0.295,"/hobbies and interests/collecting/stamps and coins ","/industries/electronics/zcash electronic coins "
"154",154,"RT JSDALLAS Fintech disruption New DigitalCurrency Zcash Now Available  ","JSDALLAS Fintech disruption","New DigitalCurrency Zcash","NA","","","","","","",0.117,0.008,0.126,0.704,0.097,0,0,0,0.31,0.541,0.023,0.538,0.004," ","/problems/disruptions/jsdallas fintech disruption "
"155",155,"RT JSDALLAS Fintech disruption New DigitalCurrency Zcash Now Available  ","JSDALLAS Fintech disruption","New DigitalCurrency Zcash","NA","","","","","","",0.117,0.008,0.126,0.704,0.097,0,0,0,0.31,0.541,0.023,0.538,0.004," ","/problems/disruptions/jsdallas fintech disruption "
"156",156,"RT floam     ","floam","NA","NA","","","","","","",0.035,0.051,0.024,0.657,0.26,0,0,0,0.046,0.134,0.385,0.605,0.113," "," "
"157",157,"RT TuurDemeester Current ZCash  supply is      ZEC units in   months it will be over a million  ","ZEC units","TuurDemeester Current ZCash","supply","","","","","","",0.027,0.071,0.042,0.334,0.596,0,0,0,0.311,0.729,0.113,0.617,0.217,"/law, govt and politics/politics/elections ","NA "
"158",158,"RT Zeruyu Zcash is such a fail Its core feature the z addresses are bugged from the very beginning gt Money lost maximum frustrati","gt Money","maximum frustrati","Zeruyu Zcash","English-language films","NA","NA","Zeruyu Zcash","NA","NA",0.077,0.184,0.103,0.09,0.609,0,0.592,0,0.209,0.056,0.002,0,0.2,"/science/social science/history ","/products/materials/services/resources/money/gt money "
"159",159,"RT Richieboy     On poloniex Zcash went from      Bitcoin to    bitcoin in    minutes hype has lost some guys a lot of money    to","hype","guys","Zcash","2000s American television series","NA","NA","poloniex Zcash","NA","NA",0.058,0.151,0.027,0.067,0.794,0,0,0.659,0.047,0.011,0.386,0.285,0.33,"/finance/personal finance/saving ","NA "
"160",160,"RT BTCDJS Who else received a private message from scam account zcashoc offering to sell ZEC for  BTC Zcash bitcoin","BTC Zcash bitcoin","private message","zcashoc offering","","","","","","",0.203,0.495,0.014,0.267,0.131,0,0,0,0.151,0.171,0.516,0.633,0.656,"/business and industrial ","NA "
"161",161,"RT a    gf zcashco barrysilbert ZCASH is a scam","gf zcashco barrysilbert","scam","NA","","","","","","",0.146,0.234,0.03,0.25,0.408,0,0,0,0.315,0.299,0.524,0.435,0.441,"/society/crime/property crime/fraud ","NA "
"162",162,"RT    Fame NiceHashMining People lost money because you couldnt honor a simple    hour contract STAY AWAY FROM NiceHash their ZCash","contract STAY","NiceHash their ZCash","Fame","David Bowie","Stay","Dave Grohl","","","",0.175,0.527,0.126,0.208,0.064,0.183,0,0,0.005,0.078,0.067,0.584,0.253,"/society/work/contracts ","/issues/relationships/arrangements/agreements/contracts/contract stay "
"163",163,"RT jluizg Zcash In   years following amp trading BTC amp alts this was the biggest nonsense I have ever seen Many victims and many accomp","amp trading BTC","biggest nonsense","alts","","","","","","",0.03,0.168,0.033,0.118,0.729,0,0.252,0,0.375,0.052,0.848,0.767,0.202,"/business and industrial ","/activities/trading/amp trading btc "
"164",164,"RT OrBitcoinLove ZEC Zcash nice scam Its incredible the fall people on something pure rather than rely on old proven bitcoin blo","Zcash nice scam","old proven bitcoin","fall people","Mark E. Smith","Norah Jones","Fall","","","",0.176,0.071,0.096,0.293,0.449,0.399,0,0.377,0.354,0.003,0.595,0.259,0.297,"/law, govt and politics/politics/elections ","/places/cities/nice/zcash nice scam "
"165",165,"RT OrBitcoinLove nice scam You have ICO scams you have premine scams and you have ZCASH scams  ","ICO scams","OrBitcoinLove nice scam","premine scams","Confidence trick","NA","NA","","","",0.266,0.139,0.046,0.395,0.197,0,0,0,0.186,0.609,0.728,0.635,0.88,"/society/crime/property crime/fraud ","/issues/types/scams/ico scams "
"166",166,"RT AnselLindner At this price zcash miners are salivating at the founder reward I can make    more during the  mos this scam will ru","zcash miners","founder reward","mos","Founder effect","Russia","NA","founder","NA","NA",0.134,0.311,0.045,0.505,0.111,0,0,0,0.169,0.848,0.075,0.591,0.843,"/food and drink ","/people/workers/miners/zcash miners "
"167",167,"RT DarioTepoTec WEEKs RECAP  bitcoincoreorg releases V     segwit  zcashco launches Zcash scam beware  sbbnews to sell bi","launches Zcash scam","RECAP  bitcoincoreorg releases","DarioTepoTec","","","","","","",0.239,0.235,0.053,0.38,0.147,0,0,0,0.028,0.411,0.005,0.591,0.118,"/business and industrial/aerospace and defense/space technology ","/activities/events/launches/launches zcash scam "
"168",168,"RT jonathpatenaude Cant wait for the first ZEC fork without founders bonus scam This one could actually succeed Zcash","founders bonus scam","ZEC fork","jonathpatenaude Cant wait","System call","NA","NA","Zcash","NA","NA",0.014,0.129,0.32,0.492,0.098,0,0,0,0.016,0.312,0.002,0.002,0.719,"/law, govt and politics/politics/elections ","/people/founders bonus scam "
"169",169,"RT gotgoxed Poloniex  pump and dump Exchange  Ethereum Classic Zcash  ","Exchange  Ethereum Classic","Poloniex  pump","Zcash","Stock market","NA","NA","","","",0.059,0.039,0.056,0.407,0.493,0,0,0,0.532,0.429,0.731,0.558,0.586,"/finance/investing/stocks ","NA "
"170",170,"RT hernzzzzzz I wonder how much of the founders reward is allocated to legal Zcash  ","founders reward","legal Zcash","hernzzzzzz","English-language films","NA","NA","Zcash","NA","NA",0.031,0.346,0.053,0.491,0.172,0,0,0.648,0.286,0.424,0.087,0.391,0.625,"/law, govt and politics/legal issues ","/people/founders reward "
"171",171,"RT hq  bnn  pa   socrates       zooko this is very accommodating of you but it doesnt help the unfixable ZCash vulnerabilities","unfixable ZCash vulnerabilities","bnn  pa","zooko","","","","","","",0.201,0.063,0.366,0.074,0.386,0,0.618,0,0.304,0.28,0.001,0.178,0.006,"/science/social science/philosophy ","/issues/security issues/vulnerabilities/unfixable zcash vulnerabilities "
"172",172,"RT michaelgraub Money leaving eth ethereum and moving to ZEC zcash we should now as the market cap value of all the top    alt coins","market cap value","ZEC zcash","alt coins","Stock market","NA","NA","eth ethereum","NA","NA",0.057,0.2,0.21,0.506,0.101,0,0.526,0,0.185,0.258,0.096,0.042,0.39,"/hobbies and interests/collecting/stamps and coins ","/share data/market cap/market cap value "
"173",173,"RT hq  bnn  And the law of supply and demand strongly suggests the ZCash price will move proportionately and inversely in that time htt"," hq  bnn","ZCash price","htt","Supply and demand","Inverse demand function","Karl Marx","ZCash","NA","NA",0.139,0.101,0.3,0.137,0.415,0,0,0,0.778,0.993,0.276,0.646,0.745,"/health and fitness/disease ","/longarm industrial machines/hq/ hq  bnn "
"174",174,"RT floam     ","floam","NA","NA","","","","","","",0.035,0.051,0.024,0.657,0.26,0,0,0,0.046,0.134,0.385,0.605,0.113," "," "
"175",175,"RT bravenewcoin Zcash the hysteria was unprecedented even in the cryptocurrency space  ","hysteria","bravenewcoin Zcash","cryptocurrency space","","","","","","",0.142,0.164,0.16,0.226,0.345,0,0,0.752,0.709,0.148,0.505,0.099,0.289,"/business and industrial/aerospace and defense/space technology ","/problems/disorders/hysteria "
"176",176,"RT moneytrigz hq  bnn  zcashco  and the privacy feature is not currently working either zec zcash","privacy feature","zcashco","zcash","","","","","","",0.251,0.044,0.096,0.333,0.324,0,0,0.001,0.538,0.126,0.024,0.037,0.036,"/law, govt and politics/politics/elections ","/issues/privacy/privacy feature "
"177",177,"Zcash the hysteria was unprecedented even in the cryptocurrency space  ","hysteria","cryptocurrency space","Zcash","","","","","","",0.194,0.173,0.187,0.109,0.377,0,0,0.822,0.844,0.105,0.7,0.094,0.389,"/business and industrial/aerospace and defense/space technology ","/problems/disorders/hysteria "
"178",178,"RT bhumharit RT JSDALLAS Fintech disruption New DigitalCurrency Zcash Now Available  ","JSDALLAS Fintech disruption","New DigitalCurrency Zcash","NA","","","","","","",0.117,0.009,0.097,0.71,0.12,0,0,0,0.178,0.542,0.024,0.641,0.006," ","/problems/disruptions/jsdallas fintech disruption "
